gene_name,artery,vein,choriocapillaris,unknown_ec,schwann-mye,melanocyte,fibroblast,smc,rpechor-pericyte,rod_rpe,b-cell,t-cell,macrophage-res,macrophage-inflam,dendritic
SEMA3G,4.417353961,0.056647335,0.286099386,0.232722411,0.122753721,0.02979049,0.063049815,0.019268611,0.031121153,0.015881325,0.013413537,0.055099913,0.037910014,0.025324358,0.003466853
ACKR1,0.30618322,20.50004281,7.06453937,2.06436309,0.300353936,0.165911717,0.157116988,0.099127927,0.32795932,0.086411669,0.033776914,0.142447843,0.36706754,0.339265519,0.075996499
CA4,0.409630823,0.95677019,18.52051951,0.517647917,0.043793592,0.007982371,0.038872429,0.030888973,0.088361504,0,0.004444155,0.079156937,0.199949137,0.046546245,0.03419422
VWF,13.53516672,40.90809485,34.1419284,12.38729124,0.506327976,0.299860698,0.289017884,0.306807108,0.748081178,0.544501236,0.14343609,0.580260415,1.034241282,0.49741512,0.217764783
PLP1,0.015592172,0.017765788,0.003816083,0.076205069,16.36564705,0.512274895,0.095083765,0.014001359,0.026839518,0.198658193,0.004103574,0.032287464,0.026751981,0.003357917,0.003910242
MLANA,0.036256512,0.025285559,0.03067512,0.689183943,0.091644404,21.10550822,0.049404249,0.044124325,0.049564946,0.046182182,0.006980931,0.043606237,0.04692484,0.016218918,0.013128418
APOD,0.320895629,0.474774451,0.403895305,4.933384029,1.300823031,1.58418883,71.54951226,0.474188194,1.375516186,1.380322127,0.184269948,0.3337607,0.773597136,0.152394415,0.39611125
ACTG2,0.001265751,0.002846916,3.94E-04,0.014197768,0,0.001800282,0.007266245,3.658873639,0.337973239,0.037187062,0.004059181,0.007168489,0.003433264,9.26E-04,0.004067595
CCL19,0.05311158,0.487441361,0.185743729,0.260565902,0.052665262,0.028025292,0.131512994,0.367696843,32.44701555,0.153056524,0.005724158,0.0445419,0.193360582,0.045907271,0.047173804
CD79A,0.009234758,0.009716352,0.02263566,0.002560877,0.009580896,0.001362015,0.00551001,5.51E-04,0.002556152,1.543484769,5.391677036,1.307177687,0.014002743,0.008456185,0.013907979
CD2,0.004584276,0.005337118,0.005078648,0.016768134,0.002812233,0.001195866,0.007416818,0.002078927,0.001653759,0,0.012242211,4.281578934,0.030294887,0.012888562,0.032984066
C1QC,0.060625041,0.091448632,0.091535538,0.278591741,0.224713171,0.096370936,0.066509934,0.029837141,0.066880082,0.322611085,0.064031435,0.214522009,39.99299536,1.935272896,10.79070072
S100A8,0.388449689,0.608332301,0.290290402,0.502348923,0.249088933,0.136146816,0.256275592,0.109713089,0.375676202,0.209709273,0.166745757,0.223335866,19.81520639,101.0524961,1.791698838
HLA-DQA1,0.5100648,1.457832815,1.458543273,0.548234781,0.087304598,0.047718167,0.050983273,0.027186776,0.072376301,0.118679144,0.46074957,2.232225617,6.714998153,0.88223935,17.33043602